symbol,count,mean,std
ASTER,6,0.05318142450277305,0.1024489650539421
IMX,3,0.020541212018022798,0.013881534763484273
MNT,11,0.013187056486006947,0.029847260805536933
NEAR,15,0.007072645567480187,0.030052991214731917
PUMP,13,0.006989803564064346,0.030947327081639744
WBNB,15,0.004798117658165833,0.010555535467823373
SKY,14,0.003812688323145407,0.010883622279895467
XMR,12,0.0037463843038305915,0.006924773643272412
BNB,13,0.0030331965478720383,0.013779436263388263
FLR,7,0.001975757772382957,0.010649226256109586
TON,12,0.0019101661433399168,0.0057581158172195146
AVAX,7,0.0018345832721848863,0.01795176615073368
KAS,14,0.001571073924028157,0.01318848132685672
AAVE,13,0.0014897449510072232,0.011769348442679916
TRUMP,12,0.0012618600242832667,0.008465343825038912
ATOM,11,0.0012183776806429453,0.006209734162562563
STETH,12,0.00109838790874455,0.006333567081223759
BTC,12,0.0010043658461823418,0.0028097642996572176
LTC,19,0.0009736476092203684,0.0038623348725923307
ETC,16,0.000820184249570541,0.006677111757541582
ALGO,13,0.0007459838145578125,0.009664917939404022
SHIB,16,0.00040760206438853185,0.0065434608640120495
BGB,14,0.00040094887445204293,0.005736678853591041
ICP,15,0.00011622348045741334,0.007446185480583055
BONK,11,1.0306657689217968e-05,0.019666768783699023
MYX,13,-8.384127909205272e-05,0.05463261499458841
LINK,11,-0.00010091546703939093,0.00794733588391961
HBAR,14,-0.0001058350853369428,0.008471809946159297
JLP,13,-0.0002561797480787636,0.005527519824780814
ENA,14,-0.0002583780404509643,0.0167408389957971
WEETH,12,-0.0003597952625724394,0.004405985633779125
ETH,15,-0.0005558844138799199,0.006211562205120946
CBBTC,14,-0.0005772397992533715,0.00479608873218908
APT,18,-0.0005845598295776835,0.009746993364896237
ADA,11,-0.0005892700080022636,0.0047767599072455055
RETH,2,-0.0006849786047237001,0.006535315753650725
WBTC,10,-0.0007342567090083803,0.004357665812169987
WETH,12,-0.0007387560214546499,0.00458690669617853
DAI,11,-0.0007472755685058012,0.0002675034978481843
USDT0,15,-0.0007892716915229933,0.0007229009615731445
PYUSD,11,-0.0008033243825698727,0.00013788967545605842
USDC,12,-0.0008164607969326417,0.0001780115647643046
SUI,15,-0.0008368770313284667,0.008184983984706413
JUP,14,-0.0008652449076008428,0.013229448505287966
USDE,11,-0.0008924315690678181,0.0001966419181933746
USDT,10,-0.0009504166651115101,0.0002375638120114983
USD1,11,-0.0009573847196299001,0.00017376946723675357
USDTB,9,-0.0009738342260164334,0.0013073763712800207
USDF,10,-0.0009766363498315,0.00036950142867674314
WBETH,14,-0.0009850960591149644,0.006362383577197603
SUSDE,12,-0.0010063577250182167,0.0001985774208381268
DOGE,14,-0.00112038783609415,0.008621267486989196
XRP,11,-0.0011644737396929725,0.007066294643823364
XLM,10,-0.0012557583700959403,0.007642835640967677
TRX,10,-0.001269935620146822,0.006518300776228092
ARB,17,-0.0013451063701099824,0.011112030690733021
FTN,8,-0.0014069111516491,0.0008512751917604237
SEI,16,-0.0016094974282822312,0.013730674192656316
PEPE,14,-0.001710238035300493,0.006702957386484361
WSTETH,12,-0.0017257997221415047,0.003634757369147788
FET,14,-0.0018007363886640409,0.007773479248637404
TAO,13,-0.0018128318683279694,0.010531877817751346
BCH,13,-0.0021408322410448074,0.004601457914243628
DOT,10,-0.0022620922466372794,0.008320720015711675
FIL,13,-0.002278486185453215,0.007122736053040268
CRO,11,-0.002326350700641654,0.01592020346119615
UNI,19,-0.002378393463278158,0.008126488009944697
RENDER,14,-0.0024630319269184054,0.012878751583530768
POL,17,-0.002546268303701361,0.008752193848819685
VET,12,-0.0030086346652586668,0.007306983348452884
OKB,15,-0.003123396138332844,0.009372613419659639
SUSDS,7,-0.003802694500306757,0.006542563022614204
ONDO,11,-0.0050831602372376,0.009637918375326399
SOL,11,-0.0054792564746299005,0.014349526868475512
PENGU,16,-0.0056317778409708755,0.013913841541401855
JITOSOL,16,-0.0058419392075834365,0.01300302906450876
M,11,-0.0061582243131105075,0.04007438305114722
WLD,14,-0.007274007473464486,0.019230900239185448
WLFI,13,-0.010126710871779576,0.02021960798344003
HYPE,16,-0.01502297151850393,0.025210119572442166
IP,11,-0.02634756078074658,0.04271655175380684
