threshold,hold_hours,min_volume,trades,avg_ret,win_rate,sharpe,cum_return
10.0,4.0,1000000.0,658,-5.0768567774623045e-05,0.4483282674772036,-0.1451719761998255,-0.1111278431952456
10.0,4.0,10000000.0,643,-7.510430307039746e-05,0.4447900466562986,-0.2123510519262437,-0.1242240383995456
10.0,4.0,100000.0,723,-0.0002107543991124,0.4287690179806362,-0.6304639229919243,-0.2111178963577717
20.0,4.0,1000000.0,629,-0.0006446345915905,0.4419713831478537,-2.4385389519566827,-0.3649955625094792
20.0,4.0,10000000.0,614,-0.0006846278621971,0.4381107491856677,-2.5602638157773647,-0.3743513984475374
75.0,4.0,1000000.0,543,-0.0007262514985734,0.438305709023941,-2.6460553908795634,-0.3557544005146312
75.0,4.0,10000000.0,528,-0.0007750774867499,0.4337121212121212,-2.78649933179532,-0.3652463910846816
50.0,4.0,1000000.0,573,-0.0007626500478767,0.4328097731239092,-2.821069239454812,-0.383318936738639
50.0,4.0,10000000.0,558,-0.0008098294385518,0.4283154121863799,-2.958043221714838,-0.3924048052985205
20.0,4.0,100000.0,693,-0.0007554866644253,0.4227994227994228,-2.990512686194351,-0.4359242994244343
75.0,4.0,100000.0,603,-0.000814817888329,0.4195688225538971,-3.1206391326222245,-0.4154652290425606
30.0,4.0,1000000.0,609,-0.0008423585982896,0.4334975369458128,-3.1694070340519485,-0.4291963924521058
50.0,4.0,100000.0,634,-0.0008475650346474,0.4148264984227129,-3.2897192915551443,-0.4423645817979671
30.0,4.0,10000000.0,594,-0.0008886914741363,0.4292929292929293,-3.304469853045151,-0.4376063256585158
30.0,4.0,100000.0,672,-0.0009287816461011,0.4151785714285714,-3.660528822823742,-0.4894145328763892
10.0,2.0,1000000.0,703,-0.0007031065425291,0.4125177809388335,-3.851001642584575,-0.4201638849373408
10.0,2.0,10000000.0,685,-0.0007186422435256,0.4072992700729927,-3.888341267106224,-0.4189511509291127
10.0,2.0,100000.0,772,-0.0007776471628387,0.3898963730569948,-4.454301349986781,-0.4786532490766605
20.0,2.0,1000000.0,672,-0.0010098734663697,0.4107142857142857,-6.444934614693552,-0.5109250671493359
20.0,2.0,10000000.0,654,-0.0010345886954396,0.4051987767584097,-6.5210855070482765,-0.5099021612139638
20.0,2.0,100000.0,740,-0.0010599862012341,0.3878378378378378,-7.079542654948709,-0.5601250342700097
50.0,2.0,1000000.0,614,-0.0011084282101235,0.4104234527687296,-7.256765281674071,-0.5095826108270356
75.0,2.0,1000000.0,581,-0.0011362190151583,0.4096385542168674,-7.3130457319065565,-0.4991269346629647
50.0,2.0,10000000.0,596,-0.0011385250980417,0.4043624161073825,-7.353617242573858,-0.508556897128583
75.0,2.0,10000000.0,563,-0.0011689685350337,0.4031971580817051,-7.416610505066414,-0.4980793527956731
50.0,2.0,100000.0,677,-0.0011349486076437,0.3884785819793205,-7.782563280842673,-0.5508966944276699
75.0,2.0,100000.0,643,-0.0011577851573315,0.3872472783825816,-7.819534525289588,-0.5397234403409137
30.0,2.0,1000000.0,651,-0.0012032102563247,0.4086021505376344,-7.907810673700533,-0.5582356797520273
30.0,2.0,10000000.0,633,-0.0012342431505283,0.4028436018957346,-8.009286200369022,-0.5573117245155907
30.0,2.0,100000.0,717,-0.0012307263124894,0.3863319386331938,-8.4652194874098,-0.6000341756824213
10.0,1.0,10000000.0,702,-0.0008679975972954,0.3689458689458689,-10.106073818591067,-0.4687133614529282
10.0,1.0,1000000.0,721,-0.0008700500308752,0.3717059639389736,-10.253742640798713,-0.4782093683465056
20.0,1.0,10000000.0,671,-0.0008179795010397,0.368107302533532,-10.491639785281864,-0.4327960230576622
20.0,1.0,1000000.0,690,-0.0008215014553004,0.3710144927536232,-10.66854705951301,-0.4429340022280753
30.0,1.0,10000000.0,650,-0.0008610047235551,0.3661538461538461,-10.96011365501676,-0.4387270827664528
30.0,1.0,1000000.0,669,-0.0008634152903893,0.3692077727952167,-11.13289741974178,-0.4487590525253834
10.0,1.0,100000.0,790,-0.0009111160796694,0.3493670886075949,-11.212612995103235,-0.5243772393595457
50.0,1.0,10000000.0,612,-0.000911500806291,0.3676470588235294,-11.37941823707606,-0.4375071410026705
50.0,1.0,1000000.0,631,-0.0009125360577016,0.3708399366085578,-11.549433498982175,-0.4475609155173728
75.0,1.0,10000000.0,579,-0.0009442331133482,0.3678756476683937,-11.65261722029869,-0.4309033261138946
20.0,1.0,100000.0,758,-0.0008692782681992,0.3482849604221636,-11.795509300483843,-0.4920204912827034
75.0,1.0,1000000.0,598,-0.0009442855043282,0.3712374581939799,-11.823472236972329,-0.4410751345996372
30.0,1.0,100000.0,735,-0.0009039855253733,0.3469387755102041,-12.181291366473136,-0.4946701868466837
50.0,1.0,100000.0,694,-0.0009446976611237,0.3487031700288184,-12.50316971272745,-0.49001240222377
75.0,1.0,100000.0,660,-0.0009732392928661,0.3484848484848485,-12.76470269706147,-0.4829108292065222
