symbol,snapshots,signals,avg_fut_ret_2h_all,avg_fut_ret_2h_when_signal
AAVE,34.0,16.0,0.0014064208485148277,0.00201362045755138
ADA,34.0,14.0,-0.00082265177379949,-0.0013960279018332914
ALGO,34.0,15.0,0.00032435791809205957,-0.00035134460968072134
APT,34.0,20.0,0.0002439950376590407,0.0002939998091354104
ARB,34.0,20.0,0.0004660373930222687,-0.0008717579916034556
ASTER,34.0,12.0,0.024312425412955502,0.035087352953367665
ATOM,34.0,13.0,0.0005605364005649772,0.0002731862108110836
AVAX,34.0,13.0,0.0013101298380594345,-0.0026447997298826085
BBTC,34.0,0.0,-0.00021625712107704582,
BCH,34.0,15.0,-0.0009210023924939635,-0.0010257983941149645
BGB,34.0,16.0,0.000514079110832044,0.00025313834688314664
BIT,34.0,0.0,0.0025546773519812566,
BNB,34.0,15.0,0.0016143434150642623,0.0019907756615076292
BNX,19.0,0.0,-0.0057411749565183965,
BONK,34.0,13.0,-0.0003298401488059403,-0.0006434370178997662
BTC,34.0,13.0,-0.00010516477086489149,0.0007232566668977748
CBBTC,34.0,15.0,-6.020389813810739e-05,-0.00042660889582104563
CNX,34.0,14.0,-9.288080765347431e-05,-0.00022110934544953458
CRO,34.0,14.0,-0.0014567195520384345,-0.004541940608076359
DAI,34.0,12.0,-1.0386019446973429e-05,3.3957379260785375e-05
DOGE,34.0,17.0,-0.0003810209839218467,-0.00173904978015598
DOT,34.0,14.0,8.882221486434649e-06,-0.0014675792646445414
ENA,34.0,14.0,0.000232929390076619,-0.0015513512015566642
ETC,34.0,17.0,0.000934057926149947,0.0007630569427202253
ETH,34.0,17.0,-0.00037039059770894523,-0.0002795595242323563
FET,34.0,14.0,-0.0003266413046381564,-0.0004252159563987787
FIL,34.0,15.0,0.00011644663446763748,-0.0011914991428396428
FLR,34.0,17.0,0.003063585556232462,0.006794242576701869
FTN,34.0,11.0,-9.373847426614123e-05,-0.00040139643762901803
HBAR,34.0,17.0,0.00037379743148979066,-0.0005150642678552499
HEX,34.0,0.0,0.0014761864481316934,
HYPE,34.0,18.0,-0.004758631847548815,-0.004033040622814313
