symbol,count,mean,std
ASTER,6,0.05318142450277305,0.1024489650539421
MNT,13,0.010625800768137255,0.027960678707460985
NEAR,17,0.007557302282904283,0.028346552716811226
AAVE,15,0.0032434199653227666,0.011866886699688122
XMR,14,0.0028104994137826927,0.00718592370901512
BNB,14,0.002598304883793843,0.013338481527772797
AVAX,7,0.0018345832721848863,0.01795176615073368
DOGE,17,0.0016481266138085116,0.010040649988121783
TON,14,0.0015330522223522644,0.005384282979000121
BTC,13,0.0012403278948805306,0.0028214699391502533
STETH,14,0.0011068132990841072,0.00583074975255714
BGB,16,0.001004552373170019,0.005611417111885111
ADA,14,0.0008644875867465643,0.005230027036522712
CNX,14,0.0008223489197031446,0.002249932367457536
SHIB,18,0.0006501761762032505,0.006213918244138067
LTC,21,0.0004761664691192809,0.004084383350570488
LINK,12,0.0004016115938802833,0.007774877324472887
SUI,17,7.970516920854119e-05,0.008114330399000039
HBAR,16,5.317353621847506e-05,0.007930031217608633
XLM,12,-6.803562403716728e-06,0.00766332607605215
WEETH,14,-5.642445915882665e-05,0.0041736599234377956
XRP,14,-0.0001577704559311642,0.006562218567824202
ENA,14,-0.0002583780404509643,0.0167408389957971
CBBTC,15,-0.0003466885926093734,0.004707094819959505
WBTC,11,-0.00042216146970974565,0.004261662119387363
DOT,12,-0.00046539997858898325,0.008771102384648732
ETH,16,-0.0005030436053033749,0.006004660338134391
WETH,13,-0.0005934385701145846,0.004422773645703012
DAI,12,-0.0007648158672749678,0.0002621922626086836
PEPE,16,-0.0008168958164112563,0.0067025158577902295
