# Correlation matrices for top-50 aggregate analysis
# Generated: 2025-09-23T21:07:08.949815Z

# --- Raw correlation matrix (coin-snapshot rows) ---
,alt_rank,price,galaxy_score,social_volume_24h,interactions_24h
alt_rank,1.0,-0.08180234833513632,-0.3760295734890641,-0.1862773588395644,-0.1541923749023793
price,-0.08180234833513632,1.0,0.08568850650795905,0.3909025067618097,0.4894298019641528
galaxy_score,-0.3760295734890641,0.08568850650795905,1.0,0.05079239621249162,0.06510264356863518
social_volume_24h,-0.1862773588395644,0.3909025067618097,0.05079239621249162,1.0,0.9444528553805795
interactions_24h,-0.1541923749023793,0.4894298019641528,0.06510264356863518,0.9444528553805795,1.0

# --- Log1p-transformed correlation matrix ---
,alt_rank,price,galaxy_score,social_volume_24h,interactions_24h
alt_rank,1.0,0.10774531296183423,-0.3760295734890641,-0.6799020833430155,-0.730727131205241
price,0.10774531296183423,1.0,-0.08744030342376632,-0.10050831730747449,-0.08692998495653755
galaxy_score,-0.3760295734890641,-0.08744030342376632,1.0,0.16267855275743587,0.21518302382033103
social_volume_24h,-0.6799020833430155,-0.10050831730747449,0.16267855275743587,1.0,0.9621328830179506
interactions_24h,-0.730727131205241,-0.08692998495653755,0.21518302382033103,0.9621328830179506,1.0
