strategy,symbol,entry_time,entry_price,tp_price,sl_price,outcome,hit_time,hit_price,realized_pnl_usd,final_price,final_unrealized_pnl_usd
TP 2% / SL 1%,ALGO,2025-09-23 10:00:20.163097+00:00,0.21305624905858864,0.21731737403976042,0.21092568656800276,no_hit,,,0.01993975833458364,0.21348107807037875,0.01993975833458364
TP 2% / SL 1%,APT,2025-09-23 10:00:20.163097+00:00,4.262954311006833,4.34821339722697,4.220324767896765,tp,2025-09-23 18:03:24.302506+00:00,4.353194412279467,0.2,4.2753725122402315,0.0
TP 2% / SL 1%,ARB,2025-09-23 10:00:20.163097+00:00,0.4360607052784293,0.44478191938399786,0.431700098225645,sl,2025-09-23 13:01:29.588835+00:00,0.4270013081615826,-0.1,0.43321264404050086,0.0
TP 2% / SL 1%,BGB,2025-09-23 10:00:20.163097+00:00,5.144799814025732,5.247695810306247,5.093351815885475,tp,2025-09-24 04:07:09.245829+00:00,5.272433658654917,0.2,5.243991891070203,0.0
TP 2% / SL 1%,CBBTC,2025-09-23 10:00:20.163097+00:00,112760.1910500108,115015.39487101103,111632.5891395107,no_hit,,,-0.08245827269027453,111830.38999178988,-0.08245827269027453
TP 2% / SL 1%,CNX,2025-09-23 10:00:20.163097+00:00,57.63531723012122,58.788023574723645,57.058964057820006,no_hit,,,-0.07731903712725466,57.18968650684553,-0.07731903712725466
TP 2% / SL 1%,DOGE,2025-09-23 10:00:20.163097+00:00,0.24011896802991672,0.24492134739051508,0.23771777834961755,no_hit,,,-0.056854125964406435,0.2387537926244351,-0.056854125964406435
TP 2% / SL 1%,ETC,2025-09-23 10:00:20.163097+00:00,18.62549207712627,18.9980019186688,18.43923715635501,tp,2025-09-24 01:05:58.767496+00:00,19.045737549837824,0.2,18.87898408167561,0.0
TP 2% / SL 1%,FLR,2025-09-23 10:00:20.163097+00:00,0.02369964,0.0241736328,0.0234626436,sl,2025-09-23 13:01:29.588835+00:00,0.02343405,-0.1,0.02351736,0.0
TP 2% / SL 1%,HBAR,2025-09-23 10:00:20.163097+00:00,0.22158655842908648,0.2260182895976682,0.2193706928447956,no_hit,,,-0.07309963304635933,0.2199667688181693,-0.07309963304635933
TP 2% / SL 1%,ICP,2025-09-23 10:00:20.163097+00:00,4.3269519130929055,4.413490951354763,4.283682393961977,sl,2025-09-23 13:01:29.588835+00:00,4.265329502855264,-0.1,4.325710686093039,0.0
TP 2% / SL 1%,INSURANCE,2025-09-23 10:00:20.163097+00:00,115.12340928096523,117.42587746658454,113.97217518815557,no_hit,,,0.06044015523595499,115.81921695378863,0.06044015523595499
TP 2% / SL 1%,L1X,2025-09-23 10:00:20.163097+00:00,17.268180245387512,17.61354385029526,17.095498442933636,no_hit,,,-0.02559511408564648,17.223982141044292,-0.02559511408564648
TP 2% / SL 1%,LEO,2025-09-23 10:00:20.163097+00:00,9.484196231309511,9.673880155935702,9.389354268996415,no_hit,,,0.013071901480934392,9.496593879185664,0.013071901480934392
TP 2% / SL 1%,LINK,2025-09-23 10:00:20.163097+00:00,21.53569303431039,21.9664068949966,21.320336103967286,no_hit,,,0.05708337286903276,21.65862603385745,0.05708337286903276
TP 2% / SL 1%,LSETH,2025-09-23 10:00:20.163097+00:00,4530.787884457101,4621.403642146243,4485.4800056125305,no_hit,,,-0.060170417355828495,4503.52594466125,-0.060170417355828495
TP 2% / SL 1%,MRS,2025-09-24 01:05:58.767496+00:00,19.818487540499998,20.214857291309997,19.620302665094997,tp,2025-09-24 03:06:44.293854+00:00,24.926195528309098,0.2,23.609454963738116,0.0
TP 2% / SL 1%,MYX,2025-09-23 10:00:20.163097+00:00,9.226760513332975,9.411295723599634,9.134492908199645,tp,2025-09-23 11:00:43.154892+00:00,9.425382010690097,0.2,8.70456058878385,0.0
TP 2% / SL 1%,NEAR,2025-09-23 10:00:20.163097+00:00,2.9659542541372454,3.02527333921999,2.936294711595873,sl,2025-09-23 13:01:29.588835+00:00,2.902731683418561,-0.1,2.9687903715334056,0.0
TP 2% / SL 1%,OKB,2025-09-23 10:00:20.163097+00:00,183.56287434293898,187.23413182979778,181.7272455995096,sl,2025-09-23 13:01:29.588835+00:00,181.29228024823266,-0.1,180.56476905164308,0.0
TP 2% / SL 1%,PENGU,2025-09-23 10:00:20.163097+00:00,0.03052663332236611,0.031137165988813432,0.030221366989142448,sl,2025-09-23 13:01:29.588835+00:00,0.02976505646224513,-0.1,0.02956038208349984,0.0
TP 2% / SL 1%,PEPE,2025-09-23 10:00:20.163097+00:00,9.621446700679396e-06,9.813875634692984e-06,9.525232233672603e-06,no_hit,,,0.00026090587485560893,9.621697729876278e-06,0.00026090587485560893
TP 2% / SL 1%,POL,2025-09-23 10:00:20.163097+00:00,0.2269432786663184,0.23148214423964475,0.2246738458796552,sl,2025-09-24 05:07:32.149141+00:00,0.22431134488904939,-0.1,0.22419296416668072,0.0
TP 2% / SL 1%,PUMP,2025-09-23 10:00:20.163097+00:00,0.00562369,0.0057361638,0.0055674531,sl,2025-09-23 13:01:29.588835+00:00,0.00551466,-0.1,0.00585712,0.0
TP 2% / SL 1%,RYO,2025-09-23 10:00:20.163097+00:00,6.675132195507821,6.808634839417977,6.6083808735527425,no_hit,,,0.04679738631223236,6.706370069511661,0.04679738631223236
TP 2% / SL 1%,SEI,2025-09-23 10:00:20.163097+00:00,0.28846148829519425,0.29423071806109813,0.2855768734122423,tp,2025-09-23 19:03:46.491408+00:00,0.29518756683875746,0.2,0.2905120189128231,0.0
TP 2% / SL 1%,SHIB,2025-09-23 10:00:20.163097+00:00,1.2088276419813053e-05,1.2330041948209314e-05,1.1967393655614922e-05,no_hit,,,0.020755383686762024,1.2113366101333538e-05,0.020755383686762024
TP 2% / SL 1%,STETH,2025-09-23 10:00:20.163097+00:00,4185.830180880786,4269.546784498402,4143.971879071979,no_hit,,,-0.05622793418306282,4162.294122489582,-0.05622793418306282
TP 2% / SL 1%,SUI,2025-09-23 10:00:20.163097+00:00,3.3636717545544768,3.4309451896455663,3.330035037008932,no_hit,,,-0.07669847811978907,3.337872904107592,-0.07669847811978907
TP 2% / SL 1%,SUSDE,2025-09-23 10:00:20.163097+00:00,1.1973819426883159,1.2213295815420822,1.1854081232614326,no_hit,,,-0.010205055550675343,1.196160007764265,-0.010205055550675343
