# Correlation matrices for selected movers (top 20)
# Generated: 2025-09-23T21:16:23.163938Z

# --- Raw correlation matrix (coin-snapshot rows) ---
,alt_rank,price,galaxy_score,social_volume_24h,interactions_24h
alt_rank,1.0,0.33408209114938703,-0.5888719085673239,-0.33373794185817973,-0.159208100481605
price,0.33408209114938703,1.0,-0.16682765658651177,-0.3596827555966825,-0.24990983806207592
galaxy_score,-0.5888719085673239,-0.16682765658651177,1.0,0.23442198817386176,0.13942207921857586
social_volume_24h,-0.33373794185817973,-0.3596827555966825,0.23442198817386176,1.0,0.8942440510015949
interactions_24h,-0.159208100481605,-0.24990983806207592,0.13942207921857586,0.8942440510015949,1.0

# --- Log1p-transformed correlation matrix ---
,alt_rank,price,galaxy_score,social_volume_24h,interactions_24h
alt_rank,1.0,0.3580648105148917,-0.5888719085673239,-0.7029982398891862,-0.6957411648734116
price,0.3580648105148917,1.0,-0.1456715790485039,-0.4915721118506169,-0.5034951431611995
galaxy_score,-0.5888719085673239,-0.1456715790485039,1.0,0.5431676533619915,0.570879317553339
social_volume_24h,-0.7029982398891862,-0.4915721118506169,0.5431676533619915,1.0,0.961335437603813
interactions_24h,-0.6957411648734116,-0.5034951431611995,0.570879317553339,0.961335437603813,1.0
