symbol,t0,t_end,first_alt_rank,last_alt_rank,abs_movement,samples_in_window
LSETH,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,5914.0,3060.0,2854.0,3
RYO,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,6581.0,4061.0,2520.0,3
WEETH,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,2048.0,3935.0,1887.0,3
WBETH,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1740.0,3401.0,1661.0,3
L1X,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,4621.0,2966.0,1655.0,3
STETH,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,636.0,1847.0,1211.0,3
POL,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1629.0,490.0,1139.0,3
HBAR,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,393.0,1482.0,1089.0,3
TAO,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,471.0,1433.0,962.0,3
SHIB,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,546.0,1505.0,959.0,3
USDTB,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,771.0,1717.0,946.0,3
PUMP,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,2257.0,1407.0,850.0,3
NEAR,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,455.0,1276.0,821.0,3
PEPE,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1345.0,529.0,816.0,3
WLFI,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,2174.0,1365.0,809.0,3
APT,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1434.0,665.0,769.0,3
ICP,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1483.0,718.0,765.0,3
BGB,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1377.0,644.0,733.0,3
SEI,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1383.0,677.0,706.0,3
ALGO,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1422.0,817.0,605.0,3
ETC,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1049.0,446.0,603.0,3
MYX,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,780.0,181.0,599.0,3
PENGU,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1181.0,667.0,514.0,3
CBBTC,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,688.0,1129.0,441.0,3
ZETRIX,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,4565.0,4973.0,408.0,3
LEO,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1530.0,1933.0,403.0,3
CNX,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1697.0,2098.0,401.0,3
LINK,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,581.0,186.0,395.0,3
SUI,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,768.0,378.0,390.0,3
UNI,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1076.0,692.0,384.0,3
INSURANCE,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,2244.0,2607.0,363.0,3
OKB,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,746.0,387.0,359.0,3
FLR,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,603.0,962.0,359.0,3
UZX,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,5072.0,5421.0,349.0,3
DOGE,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,829.0,482.0,347.0,3
SUSDE,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,567.0,912.0,345.0,3
ARB,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1195.0,857.0,338.0,3
SUSDS,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,1169.0,833.0,336.0,3
T99,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,4882.0,5203.0,321.0,3
ENA,2025-09-23 10:00:20.163097+00:00,2025-09-23 13:00:20.163097+00:00,856.0,587.0,269.0,3
