symbol,trades,avg_net_ret,win_rate
AAVE,13,0.0014897449510072368,0.6923076923076923
ADA,11,-0.000589270008002265,0.36363636363636365
ALGO,13,0.0007459838145578167,0.6153846153846154
APT,18,-0.0005845598295776885,0.5
ARB,17,-0.0013451063701099913,0.4117647058823529
ASTER,6,0.05318142450277308,0.5
ATOM,11,0.0012183776806429542,0.5454545454545454
AVAX,7,0.0018345832721848928,0.5714285714285714
BCH,13,-0.0021408322410448443,0.23076923076923078
BGB,14,0.00040094887445206093,0.5714285714285714
BNB,13,0.0030331965478720435,0.5384615384615384
BONK,11,1.0306657689221754e-05,0.45454545454545453
BTC,12,0.0010043658461823415,0.5833333333333334
CBBTC,14,-0.0005772397992533842,0.5
CRO,11,-0.0023263507006416567,0.5454545454545454
DAI,11,-0.0007472755685058508,0.09090909090909091
DOGE,14,-0.0011203878360941573,0.2857142857142857
DOT,10,-0.0022620922466372803,0.4
ENA,14,-0.0002583780404509674,0.5
ETC,16,0.000820184249570557,0.4375
ETH,15,-0.0005558844138799164,0.5333333333333333
FET,14,-0.0018007363886640467,0.35714285714285715
FIL,13,-0.00227848618545323,0.46153846153846156
FLR,7,0.001975757772382936,0.42857142857142855
FTN,8,-0.0014069111516491315,0.125
HBAR,14,-0.00010583508533694256,0.42857142857142855
HYPE,16,-0.015022971518503975,0.125
ICP,15,0.00011622348045741439,0.4666666666666667
IMX,3,0.020541212018022847,1.0
IP,11,-0.02634756078074659,0.2727272727272727
JITOSOL,16,-0.005841939207583455,0.3125
JLP,13,-0.00025617974807875496,0.6153846153846154
JUP,14,-0.00086524490760085,0.42857142857142855
KAS,14,0.0015710739240281523,0.5
LINK,11,-0.00010091546703940284,0.45454545454545453
LTC,19,0.0009736476092203708,0.631578947368421
M,11,-0.006158224313110502,0.45454545454545453
MNT,11,0.013187056486006989,0.7272727272727273
MYX,13,-8.384127909205886e-05,0.5384615384615384
NEAR,15,0.0070726455674802015,0.6
OKB,15,-0.0031233961383328474,0.4666666666666667
ONDO,11,-0.0050831602372376165,0.36363636363636365
PENGU,16,-0.005631777840970907,0.3125
PEPE,14,-0.0017102380353005019,0.42857142857142855
POL,17,-0.0025462683037013865,0.35294117647058826
PUMP,13,0.006989803564064371,0.6923076923076923
PYUSD,11,-0.0008033243825699306,0.0
RENDER,14,-0.0024630319269184115,0.5714285714285714
RETH,2,-0.0006849786047236762,0.5
SEI,16,-0.0016094974282822281,0.4375
SHIB,16,0.0004076020643885308,0.5
SKY,14,0.003812688323145404,0.5714285714285714
SOL,11,-0.005479256474629928,0.36363636363636365
STETH,12,0.0010983879087445476,0.5
SUI,15,-0.0008368770313284506,0.6
SUSDE,12,-0.001006357725018267,0.0
SUSDS,7,-0.003802694500306802,0.14285714285714285
TAO,13,-0.001812831868327973,0.38461538461538464
TON,12,0.00191016614333991,0.5833333333333334
TRUMP,12,0.0012618600242832562,0.5
TRX,10,-0.0012699356201468126,0.6
UNI,19,-0.0023783934632781722,0.42105263157894735
USD1,11,-0.0009573847196299549,0.0
USDC,12,-0.0008164607969326966,0.0
USDE,11,-0.0008924315690678617,0.0
USDF,10,-0.000976636349831556,0.0
USDT,10,-0.0009504166651115607,0.0
USDT0,15,-0.0007892716915229963,0.2
USDTB,9,-0.0009738342260164467,0.2222222222222222
VET,12,-0.0030086346652586755,0.25
WBETH,14,-0.0009850960591149596,0.42857142857142855
WBNB,15,0.004798117658165838,0.6
WBTC,10,-0.0007342567090083991,0.4
WEETH,12,-0.0003597952625724314,0.5833333333333334
WETH,12,-0.0007387560214546637,0.4166666666666667
WLD,14,-0.0072740074734644975,0.2857142857142857
WLFI,13,-0.010126710871779602,0.23076923076923078
WSTETH,12,-0.0017257997221415253,0.25
XLM,10,-0.0012557583700959626,0.3
XMR,12,0.003746384303830643,0.8333333333333334
XRP,11,-0.0011644737396929723,0.45454545454545453
